Taxonomic_group,Label,French_name
Aves,Numenius arquata,Courlis cendré
Aves,Limosa lapponica,Barge rousse
Aves,Limosa limosa,Barge à queue noire
Aves,Arenaria interpres,Tournepierre à collier
Aves,Calidris canutus,Bécasseau maubèche
Aves,Calidris pugnax,Combattant varié
Aves,Calidris falcinellus,Bécasseau falcinelle
Aves,Calidris acuminata,Bécasseau à queue pointue
Aves,Calidris himantopus,Bécasseau à échasses
Aves,Calidris ferruginea,Bécasseau cocorli
Aves,Calidris temminckii,Bécasseau de Temminck
Aves,Calidris subminuta,Bécasseau à longs doigts
Aves,Calidris ruficollis,Bécasseau à col roux
Aves,Calidris alba,Bécasseau sanderling
Aves,Calidris alpina,Bécasseau variable
Aves,Calidris maritima,Bécasseau violet
Aves,Calidris bairdii,Bécasseau de Baird
Aves,Calidris minuta,Bécasseau minute
Aves,Calidris minutilla,Bécasseau minuscule
Aves,Calidris fuscicollis,Bécasseau à croupion blanc
Aves,Calidris subruficollis,Bécasseau roussâtre
Aves,Calidris melanotos,Bécasseau à poitrine cendrée
Aves,Calidris pusilla,Bécasseau semipalmé
Aves,Calidris mauri,Bécasseau d'Alaska
Aves,Limnodromus griseus,Bécassin roux
Aves,Limnodromus scolopaceus,Bécassin à long bec
Aves,Lymnocryptes minimus,Bécassine sourde
Aves,Scolopax rusticola,Bécasse des bois
Aves,Scolopax minor,Bécasse d'Amérique
Aves,Gallinago media,Bécassine double
Aves,Gallinago gallinago,Bécassine des marais
Aves,Gallinago delicata,Bécassine de Wilson
Aves,Xenus cinereus,Chevalier bargette
Aves,Phalaropus tricolor,Phalarope de Wilson
Aves,Phalaropus lobatus,Phalarope à bec étroit
Aves,Phalaropus fulicarius,Phalarope à bec large
Aves,Actitis hypoleucos,Chevalier guignette
Aves,Actitis macularius,Chevalier grivelé
Aves,Tringa ochropus,Chevalier cul-blanc
Aves,Tringa solitaria,Chevalier solitaire
Aves,Tringa erythropus,Chevalier arlequin
Aves,Tringa melanoleuca,Grand Chevalier
Aves,Tringa nebularia,Chevalier aboyeur
Aves,Tringa semipalmata,Chevalier semipalmé
Aves,Tringa flavipes,Petit Chevalier
Aves,Tringa stagnatilis,Chevalier stagnatile
Aves,Tringa glareola,Chevalier sylvain
Aves,Tringa totanus,Chevalier gambette
Aves,Cursorius cursor,Courvite isabelle
Aves,Glareola pratincola,Glaréole à collier
Aves,Glareola maldivarum,Glaréole orientale
Aves,Glareola nordmanni,Glaréole à ailes noires
Aves,Stercorarius skua,Grand Labbe
Aves,Stercorarius pomarinus,Labbe pomarin
Aves,Stercorarius parasiticus,Labbe parasite
Aves,Stercorarius longicaudus,Labbe à longue queue
Aves,Alle alle,Mergule nain
Aves,Uria aalge,Guillemot marmette
Aves,Uria lomvia,Guillemot de Brünnich
Aves,Alca torda,Petit Pingouin
Aves,Pinguinus impennis,Grand Pingouin
Aves,Cepphus grylle,Guillemot à miroir
Aves,Fratercula arctica,Macareux moine
Aves,Rissa tridactyla,Mouette tridactyle
Aves,Pagophila eburnea,Mouette blanche
Aves,Xema sabini,Mouette de Sabine
Aves,Chroicocephalus genei,Goéland railleur
Aves,Chroicocephalus philadelphia,Mouette de Bonaparte
Aves,Chroicocephalus ridibundus,Mouette rieuse
Aves,Hydrocoloeus minutus,Mouette pygmée
Aves,Rhodostethia rosea,Mouette rosée
Aves,Leucophaeus atricilla,Mouette atricille
Aves,Leucophaeus pipixcan,Mouette de Franklin
Aves,Ichthyaetus melanocephalus,Mouette mélanocéphale
Aves,Ichthyaetus ichthyaetus,Goéland ichthyaète
Aves,Ichthyaetus audouinii,Goéland d'Audouin
Aves,Larus canus,Goéland cendré
Aves,Larus delawarensis,Goéland à bec cerclé
Aves,Larus argentatus,Goéland argenté
Aves,Larus michahellis,Goéland leucophée
Aves,Larus cachinnans,Goéland pontique
Aves,Larus glaucoides,Goéland arctique
Aves,Larus fuscus,Goéland brun
Aves,Larus hyperboreus,Goéland bourgmestre
Aves,Larus marinus,Goéland marin
Aves,Larus dominicanus,Goéland dominicain
Aves,Onychoprion fuscatus,Sterne fuligineuse
Aves,Onychoprion anaethetus,Sterne bridée
Aves,Sternula albifrons,Sterne naine
Aves,Gelochelidon nilotica,Sterne hansel
Aves,Hydroprogne caspia,Sterne caspienne
Aves,Chlidonias niger,Guifette noire
Aves,Chlidonias leucopterus,Guifette leucoptère
Aves,Chlidonias hybrida,Guifette moustac
Aves,Sterna dougallii,Sterne de Dougall
Aves,Sterna hirundo,Sterne pierregarin
Aves,Sterna paradisaea,Sterne arctique
Aves,Sterna forsteri,Sterne de Forster
Aves,Thalasseus maximus,Sterne royale
Aves,Thalasseus sandvicensis,Sterne caugek
Aves,Thalasseus elegans,Sterne élégante
Aves,Thalasseus bengalensis,Sterne voyageuse
Aves,Thalasseus albididorsalis,Sterne d'Afrique
Aves,Gavia stellata,Plongeon catmarin
Aves,Gavia arctica,Plongeon arctique
Aves,Gavia immer,Plongeon huard
Aves,Gavia adamsii,Plongeon à bec blanc
Aves,Thalassarche chlororhynchos,Albatros à nez jaune
Aves,Thalassarche melanophris,Albatros à sourcils noirs
Aves,Oceanites oceanicus,Océanite de Wilson
Aves,Hydrobates pelagicus,Océanite tempête
Aves,Hydrobates leucorhous,Océanite cul-blanc
Aves,Hydrobates monorhis,Océanite de Swinhoe
Aves,Hydrobates castro,Océanite de Castro
Aves,Fulmarus glacialis,Fulmar boréal
Aves,Pterodroma feae,Pétrel gongon
Aves,Bulweria bulwerii,Pétrel de Bulwer
Aves,Calonectris diomedea,Puffin cendré
Aves,Ardenna gravis,Puffin majeur
Aves,Ardenna grisea,Puffin fuligineux
Aves,Ardenna tenuirostris,Puffin à bec grêle
Aves,Puffinus puffinus,Puffin des Anglais
Aves,Puffinus yelkouan,Puffin yelkouan
Aves,Puffinus mauretanicus,Puffin des Baléares
Aves,Puffinus baroli,Puffin de Macaronésie
Aves,Ciconia nigra,Cigogne noire
Aves,Ciconia ciconia,Cigogne blanche
Aves,Fregata magnificens,Frégate superbe
Aves,Sula dactylatra,Fou masqué
Aves,Sula leucogaster,Fou brun
Aves,Sula sula,Fou à pieds rouges
Aves,Morus bassanus,Fou de Bassan
Aves,Microcarbo pygmaeus,Cormoran pygmée
Aves,Phalacrocorax carbo,Grand Cormoran
Aves,Gulosus aristotelis,Cormoran huppé
Aves,Nannopterum auritum,Cormoran à aigrettes
Aves,Pelecanus onocrotalus,Pélican blanc
Aves,Pelecanus crispus,Pélican frisé
Aves,Botaurus stellaris,Butor étoilé
Aves,Ixobrychus minutus,Blongios nain
Aves,Ardea herodias,Grand Héron
Aves,Ardea cinerea,Héron cendré
Aves,Ardea melanocephala,Héron mélanocéphale
Aves,Ardea purpurea,Héron pourpré
Aves,Ardea alba,Grande Aigrette
Aves,Ardea intermedia,Héron intermédiaire
Aves,Egretta garzetta,Aigrette garzette
Aves,Egretta gularis,Aigrette à gorge blanche
Aves,Bubulcus ibis,Héron garde-boeufs
Aves,Ardeola ralloides,Crabier chevelu
Aves,Butorides virescens,Héron vert
Aves,Butorides striata,Héron strié
Aves,Nycticorax nycticorax,Bihoreau gris
Aves,Plegadis falcinellus,Ibis falcinelle
Aves,Threskiornis aethiopicus,Ibis sacré
Aves,Geronticus eremita,Ibis chauve
Aves,Platalea leucorodia,Spatule blanche
Aves,Pandion haliaetus,Balbuzard pêcheur
Aves,Elanus caeruleus,Élanion blanc
Aves,Gypaetus barbatus,Gypaète barbu
Aves,Neophron percnopterus,Percnoptère d'Égypte
Aves,Pernis apivorus,Bondrée apivore
Aves,Aegypius monachus,Vautour moine
Aves,Torgos tracheliotos,Vautour oricou
Aves,Gyps rueppelli,Vautour de Rüppell
Aves,Gyps fulvus,Vautour fauve
Aves,Circaetus gallicus,Circaète Jean-le-Blanc
Aves,Clanga pomarina,Aigle pomarin
Aves,Clanga clanga,Aigle criard
Aves,Hieraaetus pennatus,Aigle botté
Aves,Aquila nipalensis,Aigle des steppes
Aves,Aquila adalberti,Aigle ibérique
Aves,Aquila heliaca,Aigle impérial
Aves,Aquila chrysaetos,Aigle royal
Aves,Aquila fasciata,Aigle de Bonelli
Aves,Circus aeruginosus,Busard des roseaux
Aves,Circus cyaneus,Busard Saint-Martin
Aves,Circus hudsonius,Busard des marais
Aves,Circus macrourus,Busard pâle
Aves,Circus pygargus,Busard cendré
Aves,Accipiter nisus,Épervier d'Europe
Aves,Accipiter gentilis,Autour des palombes
Aves,Milvus milvus,Milan royal
Aves,Milvus migrans,Milan noir
Aves,Haliaeetus albicilla,Pygargue à queue blanche
Aves,Buteo lagopus,Buse pattue
Aves,Buteo buteo,Buse variable
Aves,Buteo rufinus,Buse féroce
Aves,Tyto alba,Effraie des clochers
Aves,Otus scops,Petit-duc scops
Aves,Bubo bubo,Grand-duc d'Europe
Aves,Bubo scandiacus,Harfang des neiges
Aves,Surnia ulula,Épervière boréale
Aves,Glaucidium passerinum,Chevêchette d'Europe
Aves,Athene noctua,Chevêche d'Athéna
Aves,Strix aluco,Chouette hulotte
Aves,Asio otus,Hibou moyen-duc
Aves,Asio flammeus,Hibou des marais
Aves,Aegolius funereus,Nyctale de Tengmalm
Aves,Upupa epops,Huppe fasciée
Aves,Alcedo atthis,Martin-pêcheur d'Europe
Aves,Merops persicus,Guêpier de Perse
Aves,Merops apiaster,Guêpier d'Europe
Aves,Coracias garrulus,Rollier d'Europe
Aves,Jynx torquilla,Torcol fourmilier
Aves,Picoides tridactylus,Pic tridactyle
Aves,Dendrocoptes medius,Pic mar
Aves,Dendrocopos leucotos,Pic à dos blanc
Aves,Dendrocopos major,Pic épeiche
Aves,Dryobates minor,Pic épeichette
Aves,Picus canus,Pic cendré
Aves,Picus viridis,Pic vert
Aves,Picus sharpei,Pic de Sharpe
Aves,Dryocopus martius,Pic noir
Aves,Falco naumanni,Faucon crécerellette
