recording,n_splits
/media/david/One Touch/Sons/Anura_jtfoalb81FR_23III2022_i48.wav,7
/media/david/One Touch/Sons/Anura_pdbifon31FR_21III2022_i46.wav,3
/media/david/One Touch/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,2
/media/david/One Touch/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,4
/media/david/One Touch/Sons/Anura_rdlplbb09FR_08IV2022_i49.wav,5
/media/david/One Touch/Sons/Anura_rdlplbb09FR_08IV2022_i50.wav,5
/media/david/One Touch/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,3
/media/david/One Touch/Sons/Anura_rdlplbb09FR_08IV2022_i52.wav,2
/media/david/One Touch/Sons/Anura_rdlplbb09FR_08IV2022_i53.wav,7
/media/david/One Touch/Sons/Anura_rdlplbb09FR_08IV2022_i54.wav,13
